Jop title,Company name,Location,Posted,Skills,links
Data Analyst,Confidential -,"Mohandessin, Giza, Egypt",25 days ago,Full TimeHybridEntry Level / 1 - 2 Yrs of Exp / Analyst/Research / Engineering - Telecom/Technology / Analysis / analytical / Communication skills / Computer Science / Data / Data Analysis / Engineering / ETL,https://wuzzuf.net/jobs/p/NVdcxmckBKls-Data-Analyst-Giza-Egypt
Financial Analyst - Al Shorouk Hospital,Cleopatra Hospitals Group -,"Mohandessin, Giza, Egypt",2 months ago,Full TimeOn-siteEntry Level / 2 - 3 Yrs of Exp / Medical/Healthcare / Accounting / Financial Analysis / Healthcare,https://wuzzuf.net/jobs/p/pYXriFsyRxNA-Financial-Analyst---Al-Shorouk-Hospital-Cleopatra-Hospitals-Group-Giza-Egypt
Accountant Business Analyst,UNIVERSAL GROUP SHIPPING & CUSTOMER SERV. -,"Sheraton, Cairo, Egypt",2 months ago,Full TimeOn-siteExperienced / 6 - 20 Yrs of Exp / Accounting/Finance / Analysis / Accounting / Communication skills / Finance / Data,https://wuzzuf.net/jobs/p/e0ubvcSKBOV3-Accountant-Business-Analyst-UNIVERSAL-GROUP-SHIPPING-CUSTOMER-SERV-Cairo-Egypt
Senior Investment Analyst,Al Ahly Medical Company -,"Giza, Giza, Egypt",27 days ago,Full TimeOn-siteExperienced / 3 - 5 Yrs of Exp / Accounting/Finance / Medical/Healthcare / Analyst/Research / Accounting / analytical / Analysis / Business Analysis / Computer Science / Finance / Financial,https://wuzzuf.net/jobs/p/gQp01GeVqdg4-Senior-Investment-Analyst-Al-Ahly-Medical-Company-Giza-Egypt
Financial Analyst,Argaam -,"Mohandessin, Giza, Egypt",2 months ago,Full TimeOn-siteExperienced / 5 - 7 Yrs of Exp / Business Development / Analyst/Research / business / Financial Analysis / Business Development / Analysis / Financial Services,https://wuzzuf.net/jobs/p/WigSglpCwHg8-Financial-Analyst-Argaam-Giza-Egypt
Sales Admin & Analyst,ICONIC FMCG  -,"New Cairo, Cairo, Egypt",27 days ago,Full TimeOn-siteExperienced / 3 - 7 Yrs of Exp / Administration / Sales/Retail / MS Excel / MS Office / sales administrator / Sales / Business Administration / Sales Target / Sales Support,https://wuzzuf.net/jobs/p/yB5zJPMFs7Cs-Sales-Admin-Analyst-ICONIC-FMCG-Cairo-Egypt
"Business Analyst Expert, SAP REFX",IGI-Group -,"Sheikh Zayed, Giza, Egypt",1 month ago,Full TimeOn-siteExperienced / 4 - 10 Yrs of Exp / IT/Software Development / Engineering - Telecom/Technology / Analysis / Analyst / Computer Science / ERP / Implementation / Project Management / SAP / Management,https://wuzzuf.net/jobs/p/BuX6xY9B9yK6-Business-Analyst-Expert-SAP-REFX-IGI-Group-Giza-Egypt
Financial Analyst,Qardy -,"Mohandessin, Giza, Egypt",1 month ago,Full TimeOn-siteExperienced / 2 - 4 Yrs of Exp / Accounting/Finance / Analysis / Accounting / Communication skills / Finance / Financial Analysis,https://wuzzuf.net/jobs/p/1w3yAOOD6O4t-Financial-Analyst-Qardy-Giza-Egypt
Marketing Analyst,Saveto  -,"Abnub, Assiut, Egypt",1 month ago,Full TimeOn-siteExperienced / 5 - 8 Yrs of Exp / Marketing/PR/Advertising / Sales/Retail / Analysis / Data Collection / Market Research,https://wuzzuf.net/jobs/p/hwOJ8nKUqpW1-Marketing-Analyst-Saveto-Assiut-Egypt
Process Improvement senior analyst,Confidential -,"Giza, Egypt",1 month ago,Full TimeOn-siteExperienced / 1 - 5 Yrs of Exp / Business Development / Analyst/Research / Engineering - Telecom/Technology / Call Center / Communication / analytical / Process Improvement / Telecommunication,https://wuzzuf.net/jobs/p/vi3r1Jy6AyRn-Process-Improvement-senior-analyst-Giza-Egypt
